"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2, C3, C4";"C_Disc_D7.0mm_W2.5mm_P5.00mm";4;"100n";;;
2;"D1";"LED_D3.0mm";1;"LED";;;
3;"H1, H2, H3, H4";"MountingHole_3.2mm_M3_Pad";4;"MountingHole_Pad";;;
4;"J1";"PinSocket_2x20_P2.54mm_Vertical";1;"Conn_02x20_Odd_Even";;;
5;"J2, J4";"PinHeader_1x12_P2.54mm_Vertical";2;"Conn_01x12_Pin";;;
6;"J3";"PinHeader_1x07_P2.54mm_Vertical";1;"Conn_01x07_Pin";;;
7;"J5";"PinHeader_1x10_P2.54mm_Horizontal";1;"PinHeader_1x10_P2.54mm_Horizontal";;;
8;"JP3";"PinHeader_1x02_P2.54mm_Vertical";1;"Jumper_2_Bridged";;;
9;"JP4";"PinHeader_1x02_P2.54mm_Vertical";1;"Jumper_2_Open";;;
10;"RN1";"R_Array_SIP6";1;"4.7k";;;
11;"SW1";"SW_PUSH_6mm_H4.3mm";1;"SW_Omron_B3FS";;;
12;"U1";"DIP-14_W7.62mm_LongPads";1;"74HCT00";;;
13;"U2";"DIP-40_W15.24mm_LongPads";1;"W65C22SxP";;;
